"TD","PZ","SZZZ","ZXBZ","CYBZ","SZ50"
"20151230","0.955192830852936","1.13728162750554","1.3908577768392","1.59040611097601","1.0121591081185"
"20151231","0.97232600694372","1.12655649538307","1.36669874801337","1.55294777347047","1.00717805510853"
"20160104","1.16328525607575","1.04923139311808","1.2542480647393","1.42545953910195","0.944628898611553"
"20160105","1.11945911345815","1.04651079882085","1.23815132637183","1.38282289327249","0.951972958309965"
"20160106","1.09613016343485","1.07010678977194","1.26149836225566","1.41237129328966","0.96426054316369"
"20160107","0.811615075803433","0.994718921260647","1.15823637151991","1.29115768091894","0.907237508882702"
"20160108","1.22514558851155","1.01426632921578","1.17236670949426","1.28684681076287","0.923473090614375"
"20160111","1.17621602065026","0.960246601007833","1.09828598987345","1.20523438282289","0.882126839156114"
"20160112","1.24939990398464","0.962206434760964","1.10894219642544","1.22879311084727","0.886759032896368"
"20160113","1.2077584587447","0.938885781831065","1.07500017503357","1.17858068576823","0.875999397557278"
"20160114","1.31499648639434","0.957364305306257","1.11404243041683","1.24451743030026","0.887053514221476"
"20160115","1.23467754840775","0.923407265040379","1.07985340816412","1.20897878610153","0.861613040388625"
"20160118","1.29554641786164","0.927502926063306","1.0976928295992","1.24447279957658","0.860925015851566"
"20160119","1.29948443924941","0.95739304868581","1.13513356852418","1.28267326591042","0.885596751136237"
"20160120","1.28043095590947","0.947511023865918","1.11962168651276","1.26147481654198","0.869016512256048"
"20160121","1.22191028825482","0.916885796473318","1.07997259381352","1.20869383609653","0.849151962016153"
"20160122","1.21319932928399","0.928370415900468","1.09106386055019","1.22996895875949","0.857882638499418"
"20160125","1.2086455572022","0.93535827206134","1.10076641908507","1.23525483857124","0.859331163762904"
"20160126","1.11377124687776","0.875283653866048","1.02651375951104","1.14097129042871","0.811971968107148"
"20160127","1.33811322855135","0.87075505961466","1.01862617697864","1.14292703162773","0.81274212123078"
"20160128","1.31037313796294","0.845323057442514","0.984640519310762","1.09085556525098","0.795790431478797"
"20160129","1.35508637903804","0.871405048330576","1.02136760973669","1.14098158982648","0.820871977593125"
"20160201","1.2653328880447","0.855888716329582","1.00981979032118","1.14019769121833","0.805922286553046"
"20160202","1.22240428033703","0.875215217248065","1.04069099019991","1.18745590570329","0.819461937102983"
"20160203","1.21049628810175","0.871929304655313","1.04181999743067","1.1961680518403","0.812285213359583"
"20160204","1.20090866712587","0.885227016994245","1.05586290003108","1.21683722660106","0.821384220327616"
"20160205","1.23070473884517","0.879646726994872","1.04193283302498","1.19987182971662","0.818481469893674"
"20160215","1.30072289827242","0.874141239810504","1.04220360588692","1.21123092108086","0.810583021433314"
"20160216","1.27491703020309","0.90290849260232","1.08176982222614","1.25991674653468","0.832478777207695"
"20160217","1.23509848532287","0.912701931790655","1.0953387502017","1.26759323100691","0.838112157527122"
"20160218","1.17537762563749","0.911287044502582","1.08886560173529","1.25361465947616","0.835961129130768"
"20160219","1.12076714883077","0.910372858610266","1.09334564701281","1.26511279271032","0.833811723335669"
"20160222","1.09382022862788","0.931748638350035","1.1143421855815","1.28488649205373","0.854513036560951"
"20160223","1.12644457895872","0.924158858260761","1.10695821126438","1.26918277139628","0.844386007685305"
"20160224","1.13002428214601","0.932296449603752","1.10459941003104","1.26095584133206","0.849322792804637"
"20160225","1.17753449247532","0.872565287737781","1.02327344037355","1.16563033744832","0.804061953412206"
"20160226","1.13170802980651","0.880830203021206","1.02646475011149","1.15291458652209","0.813545350456908"
"20160229","1.13521467782671","0.855610195209882","0.976652150006537","1.07579841789806","0.809058566752151"
"20160301","1.09624844322918","0.869994935690269","0.999522768936638","1.10713891312744","0.820950361715264"
"20160302","1.15309927849325","0.907081534750046","1.04197712058869","1.15445034116755","0.850162634571891"
"20160303","1.15211477314631","0.91028914311943","1.04285668462972","1.14842633784886","0.854267358088958"
"20160304","1.14825676456059","0.914869303566694","1.01946780351106","1.09118743473472","0.882973504169669"
"20160307","1.17653955067593","0.92225186394291","1.0343876650017","1.11767462485874","0.876900773356721"
